WKT,name,description
"POINT (9.178326 45.50010600000001)",Giardini ex-ospedale Bassi, Via Livigno,20158 Milan, Italy

"POINT (9.178305000000002 45.438002)",Viale Giovanni da Cermenate,20141 Milan, Italy

"POINT (9.216521 45.461305)",Largo Marinai d'Italia,20135 Milan, Italy

"POINT (9.216156 45.459408)",Largo Marinai d'Italia,20135 Milan, Italy

"POINT (9.214740000000003 45.46764)",Corso Indipendenza,20129 Milan, Italy

"POINT (9.197059 45.473554)",Corso Venezia,Milan, Italy

"POINT (9.203968 45.484688)",Stazione Centrale,Piazza Duca d'Aosta, 20124 Milan, Italy

"POINT (9.122868 45.450206)",Via del Cardellino,20147 Milan, Italy

"POINT (9.121699 45.452445)",Via della Rondine,20147 Milan, Italy

"POINT (9.124296 45.450569)",Via dello Storno,20147 Milan, Italy

"POINT (9.12462 45.45722)",Via Berna,20147 Milan, Italy

"POINT (9.214053 45.459107)",Via Augusto Anfossi,20135 Milan, Italy

"POINT (9.209626 45.454457)",Piazzale Libia,20135 Milan, Italy

"POINT (9.182317 45.454818)",Parco delle Basiliche,Milan, Italy

"POINT (9.183111 45.455826)",Parco delle Basiliche,Milan, Italy

"POINT (9.187797 45.457362)",Piazza Sant'Eufemia,20122 Milan, Italy

"POINT (9.20238 45.473103)",Giardini Pubblici Indro Montanelli,Via Daniele Manin, 7
20121 Milano, Milano (Lombardia), Italy


"POINT (9.180236 45.452846)",Piazza XXIV Maggio,
